type,message,filename,uuid,session_id
StreamError,Failed to clean file. Check log files for technical errors.,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\CIN sample\822_cin_2022.xml,e3dd28a2f6ce44c7b601f84f5533bfaa,20240528T133643.696203
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\Ofsted data\Closed_childrens_homes_31Mar23.csv,9e18c267a06d4ec7a7ee771f5640afb5,20240528T133643.696203
MissingLA,Could not find a local authority in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\Ofsted data\Providers+places_at_31_Aug_2023.csv,c7480ca6e2614349ac9d00140bea4792,20240528T133643.696203
MissingLA,Could not find a local authority in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\Ofsted data\Provider_level_at_31_Aug_2023.csv,674f53e1e614403cb80e99d0770fb202,20240528T133643.696203
MissingLA,Could not find a local authority in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\Ofsted data\Provider_level_in_year_2022-23.csv,ed77a9a77d3645ce8cccb14cd29e0be2,20240528T133643.696203
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\ONS Area\ONS Area.csv,2855ef30463e43109a52f175c391e9cb,20240528T133643.696203
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\Postcode directory\ONSPD reduced to postcode sector.csv,d1ae5d22b99845d9972267d5b9755cad,20240528T133643.696203
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\SSDA903\pan_London_SSDA903_Episodes.csv,a2a9a4f3747d45b98593df5bfd963f3d,20240528T133643.696203
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\SSDA903\pan_London_SSDA903_Header.csv,e2d0aee567eb4bec91fc7f044ba4effa,20240528T133643.696203
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\SSDA903\pan_London_SSDA903_UASC.csv,4f1b2e950fcf4b0f936e9f28589273d9,20240528T133643.696203
